SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2682,XRP,XRP,07/12/2020 23:59,0.62283152,0.59281905,0.6197136,0.60893445,7718537440,27605614509
2681,XRP,XRP,06/12/2020 23:59,0.62587764,0.58151556,0.58441368,0.61985104,10280250882,28100510377
2680,XRP,XRP,05/12/2020 23:59,0.59583914,0.55178451,0.55708838,0.58442082,8565677726,26494306276
2679,XRP,XRP,04/12/2020 23:59,0.63296739,0.54668682,0.63146904,0.55726194,9629062989,25263077880
2678,XRP,XRP,03/12/2020 23:59,0.64033314,0.61617332,0.62999517,0.63148285,9884297219,28627830442
2677,XRP,XRP,02/12/2020 23:59,0.63589682,0.5986363,0.61299175,0.62989304,12874875863,28555757296
2676,XRP,XRP,01/12/2020 23:59,0.67915803,0.59434803,0.66451512,0.61292341,16985355820,27786451402
2675,XRP,XRP,30/11/2020 23:59,0.67217887,0.60042498,0.6062889,0.6643373,17398359053,30117263916
2674,XRP,XRP,29/11/2020 23:59,0.63451288,0.58836301,0.6257423,0.60624629,15391721339,27492190918
2673,XRP,XRP,28/11/2020 23:59,0.64455007,0.54264027,0.55967488,0.62562208,17173561815,28370848654
2672,XRP,XRP,27/11/2020 23:59,0.58586461,0.50871445,0.5333827,0.55926763,18713160692,25361792213
2671,XRP,XRP,26/11/2020 23:59,0.64973009,0.46214103,0.63489168,0.53301892,23673915793,24171460090
2670,XRP,XRP,25/11/2020 23:59,0.719857,0.59654809,0.6921535,0.63548327,23569614498,28818036071
2669,XRP,XRP,24/11/2020 23:59,0.76801923,0.57790642,0.6141929,0.69210316,32826193388,31385647148
2668,XRP,XRP,23/11/2020 23:59,0.61496891,0.43473187,0.44370074,0.6139796,20715303968,27842882655
2667,XRP,XRP,22/11/2020 23:59,0.49190222,0.41325645,0.45834417,0.44370043,19097682286,20112122024
2666,XRP,XRP,21/11/2020 23:59,0.46305672,0.32806823,0.32806823,0.45834416,16206296041,20775895361
2665,XRP,XRP,20/11/2020 23:59,0.32939349,0.29820341,0.30376633,0.32806824,6283633942,14870727963
2664,XRP,XRP,19/11/2020 23:59,0.30650523,0.2846427,0.29422206,0.30376565,5230574728,13769136634
2663,XRP,XRP,18/11/2020 23:59,0.30727701,0.28382752,0.30239687,0.29422167,5684799554,13336525350
2662,XRP,XRP,17/11/2020 23:59,0.30440175,0.29111257,0.29179625,0.3024083,6002566535,13707610374
2661,XRP,XRP,16/11/2020 23:59,0.28800822,0.26805325,0.26964145,0.28552034,4105697051,12942110144
2660,XRP,XRP,15/11/2020 23:59,0.2766181,0.26464493,0.26834244,0.26964156,3613774298,12222354606
2659,XRP,XRP,14/11/2020 23:59,0.27701389,0.26245374,0.26519051,0.26834244,4433908911,12163467828
2658,XRP,XRP,13/11/2020 23:59,0.2656794,0.2540912,0.25490258,0.2651905,2989109717,12020596204
2657,XRP,XRP,12/11/2020 23:59,0.25808101,0.25283861,0.25625788,0.25490322,2443233108,11550299326
2656,XRP,XRP,11/11/2020 23:59,0.25972446,0.25284233,0.25391109,0.25625941,2811079099,11611751579
2655,XRP,XRP,10/11/2020 23:59,0.26429699,0.24872395,0.25075275,0.25391118,3488798458,11505347387
2654,XRP,XRP,09/11/2020 23:59,0.25607033,0.24611493,0.25393858,0.25074766,3079413903,11362000767
2653,XRP,XRP,08/11/2020 23:59,0.25673497,0.24791322,0.24958216,0.2539387,2364742336,11506594737
2652,XRP,XRP,07/11/2020 23:59,0.2664165,0.24558496,0.25844465,0.24958223,3395345984,11309192154
2651,XRP,XRP,06/11/2020 23:59,0.26080451,0.24530654,0.2457695,0.25844464,3282591092,11710770062
2650,XRP,XRP,05/11/2020 23:59,0.24704647,0.23755798,0.23779864,0.24577641,2949508995,11129902603
2649,XRP,XRP,04/11/2020 23:59,0.24039029,0.23338803,0.2395104,0.23779264,3335786074,10768360115
